公众号,标题,链接,日期
"恒健知行","DRG付费下耗材精益管理助推医院新技术发展","https://mp.weixin.qq.com/s/21YhnuoPcGf6RS1lehgAvA","2026-04-07"
"恒健知行","基于DRG付费的医院精细化管理实践 ——沈阳市第四人民医院DRG管理案例学习笔记","https://mp.weixin.qq.com/s/3qqpF9jDUE07NVWFqEn_IA","2026-04-06"
"恒健知行","DRG付费下新生儿科“拼药”降本提效新模式探索——浙江大学医学院附属妇产科医院管理案例学习笔记","https://mp.weixin.qq.com/s/IWM902Ekr8uRpcgKvrBLPg","2026-04-05"
"恒健知行","DRG数据分析促医院精细化管理学习感悟","https://mp.weixin.qq.com/s/6RKYSl4ahm3rGZK6fahWyg","2026-04-04"
"恒健知行","优化科室服务效能：利用DRG驱动的精细化管理策略与实践","https://mp.weixin.qq.com/s/BcX-EvX_Q6g3phlyITUeJA","2026-04-03"
"恒健知行","病种管理的标杆对比分析报告","https://mp.weixin.qq.com/s/rwbx3zg1apZjwJaoQamgAA","2026-04-03"
"恒健知行","病种管理的标杆对比分析报告","https://mp.weixin.qq.com/s/lTVXjPdu0Tbv3c7kwqSvzw","2026-04-02"
"恒健知行","逆向工程实现医院病种落组","https://mp.weixin.qq.com/s/pYCWBCqfqD0LmicGGeqGEQ","2026-04-02"
"恒健知行","科室DRG运营分析思路全解","https://mp.weixin.qq.com/s/WxpABfScn7IihuU31TQqgQ","2026-04-01"
"恒健知行","DRG病种可视化分析维度示例","https://mp.weixin.qq.com/s/edVeGyTvofPb9kZplJKAnQ","2026-03-31"
"恒健知行","深度解析：各省市2025年三甲评审标准监测指标特征及趋势分析","https://mp.weixin.qq.com/s/y4zmgFxYcsbd2CTtRc1DKA","2026-03-30"
"恒健知行","4月份医疗机构核心制度专题培训班","https://mp.weixin.qq.com/s/jXbfUJl9yv7XdNiLoan0Ww","2026-03-30"
"恒健知行","西藏自治区《三级医院评审标准（2025年版）第二部分指标清单","https://mp.weixin.qq.com/s/UYTmhqBA-rDw2CNbcQYF9A","2026-03-29"
"恒健知行","《陕西省三级医院评审标准实施细则》第二部分医疗服务能力与质量安全管理监测指标表格","https://mp.weixin.qq.com/s/DaxFlfabq9r84XTVqpdzEQ","2026-03-28"
"恒健知行","《广东省三级医院评审指标（2025年版）指导手册》---AI将其整理成Excel表格了，需要即自取","https://mp.weixin.qq.com/s/gG7tXL0mk_9lvWmjLV4EDw","2026-03-27"
"恒健知行","更好的与大模型对话实现病种分析","https://mp.weixin.qq.com/s/4ogJDND3L3K96YB3fHGMAQ","2026-03-27"
"恒健知行","AI赋能医院管理之AI做数据分析实践","https://mp.weixin.qq.com/s/6Iww_bxD4fq0aeTHJeSMlw","2026-03-26"
"恒健知行","基于《病种分析系统》生成的DIP病种运营分析报告","https://mp.weixin.qq.com/s/4QgpBT8qigDb9naq3T2Rhw","2026-03-25"
"恒健知行","AI赋能医院管理之环境部署，vs + claude + cc switch + 大模型API","https://mp.weixin.qq.com/s/iySA5DvUjG1IUUsqqK1aNQ","2026-03-24"
"恒健知行","医院病种分析系统<3>---从Demo演示到实践","https://mp.weixin.qq.com/s/oxOctxXl_J-4QZIbjXFQgQ","2026-03-23"
"恒健知行","一个运营小兵的困惑：为啥DRG/DIP付费后，高编高套这事儿总也管不住？","https://mp.weixin.qq.com/s/SxqUTw8kbiPMnF0NNwCf-A","2026-03-22"
"恒健知行","XX省DRG住院医疗服务综合评价分析","https://mp.weixin.qq.com/s/2FWdYKBnxMRHa0jufE3t_Q","2026-03-21"
"恒健知行","DIP病种核心指标的可视化分析","https://mp.weixin.qq.com/s/IwRhwMykGxw9aBhhTyJ3DQ","2026-03-19"
"恒健知行","DIP病种绩效管理涉及的数据分析","https://mp.weixin.qq.com/s/1W7uedY3NJ3Gp85o8RYpfA","2026-03-18"
"恒健知行","DRG盈亏分析摘要","https://mp.weixin.qq.com/s/9TLMtXBjermko5J3Swg5_Q","2026-03-17"
"恒健知行","医院病种分析报告系统更新DIP盈亏分析","https://mp.weixin.qq.com/s/36CTVwlCAhDz7iTrf6e1pw","2026-03-15"
"恒健知行","智慧医院管理案例更新（增加DRG/DIP管理案例）","https://mp.weixin.qq.com/s/ZkD_NqzIo3RqAyFmcelZXA","2026-03-14"
"恒健知行","DIP支付方式下低倍率病例患者特征分析","https://mp.weixin.qq.com/s/UNr-nt3NAJhT2glKek6F-A","2026-03-13"
"恒健知行","基于DIP管理的医院科室战略定位","https://mp.weixin.qq.com/s/nXSGn9UP7CRo7iK4u8dkgw","2026-03-12"
"恒健知行","常见的病种分析对比图","https://mp.weixin.qq.com/s/fF9NQH_JEBUdxqloWATT4w","2026-03-11"
"恒健知行","某三甲医院的DIP改革对住院费用影响","https://mp.weixin.qq.com/s/GLvrsLpwTREk69x0wkW_wA","2026-03-11"
"恒健知行","从1.08到1.21：一家三甲医院的CMI值突围之路","https://mp.weixin.qq.com/s/zyfAXuL-u-1Jed6UMKHY5A","2026-03-10"
"恒健知行","CMI值提升相关指标预期收益图","https://mp.weixin.qq.com/s/3PcpwNvak-s6VaEEpgYHRg","2026-03-10"
"恒健知行","医院质量管理必备的统计学常识：让数据说话","https://mp.weixin.qq.com/s/pxtnOgu_dmkLHgBfORys4w","2026-03-09"
